Title,Authors,Published Year,Library,Publication,Thematic Group,Musical Group,Musical Sub-Group,Review/Theoretical,Human Subject Method,Visually Disabled
Online Map Interface for Creative and Interactive,"Park, Sihwa; Kim, Seunghun; Lee, Samuel; Yeo, Woon Seung",2010,Zenodo,NIME,art-nature,experiential,for practice-comp,,,
VR-RoBoser : Real-Time Adaptive Sonification of Virtual Environments Based on Avatar Behavior,"le Groux, Sylvain; Manzolli, Jonatas; Verschure, Paul F.",2007,Zenodo,NIME,art-space,experiential,for practice-comp,,,
Soundstone: A 3-D Wireless Music Controller,"Bowen, Adam",2005,Zenodo,NIME,art-movement,experiential,for practice-perfom,,,
The Elbow Piano : Sonification of Piano Playing Movements,"Hadjakos, Aristotelis; Aitenbichler, Erwin; Mühlhäuser, Max",2008,Zenodo,NIME,art-movement,experiential,both-perform,,x,
Music and Musical Sonification for the Rehabilitation of Parkinsonian Dysgraphia: Conceptual Framework,"Véron-Delor, Lauriane; Pinto, Serge; Eusebio, Alexandre; Velay, Jean-Luc; Danna, Jérémy",2017,Springer,CMMR,medicine-movement,theoretical,zero-one(par),theoretical,,
Sonification and music as support to the communication of alcohol-related health risks to young people: Study design and results,"Walus, Bartlomiej P.; Pauletto, Sandra; Mason-Jones, Amanda",2016,Springer,J. Multimodal User Interfaces,medicine-vision,non-specified,,,x,
Algorithmic approach to sonification of classical Chinese poetry,"Huang, Chih-Fang; Lu, Hsiang-Pin; Ren, Jenny",2012,Springer,Multimed. Tools Appl.,art,theoretical,two,,x,
Movement sonification expectancy model: leveraging musical expectancy theory to create movement-altering sonifications,"Newbold, Joseph; Gold, Nicolas E.; Bianchi-Berthouze, Nadia",2020,Springer,J. Multimodal User Interfaces,movement,theoretical,two,,x,
Complex and Dynamic Data Representation by Sonification,"Chemseddine, Maher; Noirhomme-Fraiture, Monique",2008,Springer,HCIS,emotion,theoretical,one(par)-two,,x,
Flood Tide: sonification as musical performance-an audience perspective,"Eacott, John",2012,Springer,AI Soc.,art,experiential,both-perform,,x,
Musical Vision: an interactive bio-inspired sonification tool to convert images into music,"Polo, Antonio; Sevillano, Xavier",2019,Springer,J. Multimodal User Interfaces,art-vision,theoretical-experiential,two-for practice-comp,,x,
The SoundBike: musical sonification strategies to enhance cyclists' spontaneous synchronization to external music,"Maes, Pieter-Jan; Lorenzoni, Valerio; Six, Joren",2019,Springer,J. Multimodal User Interfaces,medicine-movement,theoretical-experiential,zero-one(par)-by practice-comp,,x,
Personalised interactive sonification of musical performance data,"Wolf, KatieAnna E.; Fiebrink, Rebecca",2019,Springer,J. Multimodal User Interfaces,art,experiential,for practice-perfom,,x,
Perceptual Evaluation of Blended Sonification of Mechanical Robot Sounds Produced by Emotionally Expressive Gestures: Augmenting Consequential Sounds to Improve Non-verbal Robot Communication,"Frid, Emma; Bresin, Roberto",2022,Springer,Int. J. Soc. Robot.,emotion,non-specified-theoretical,,,x,
ECG sonification to support the diagnosis and monitoring of myocardial infarction,"Aldana Blanco, Andrea Lorena; Grautoff, Steffen; Hermann, Thomas",2020,Springer,J. Multimodal User Interfaces,medicine,theoretical,zero-one(ver),,x,
Hand rehabilitation with sonification techniques in the subacute stage of stroke,"Raglio, Alfredo; Panigazzi, Monica; Colombo, Roberto; Tramontano, Marco; Iosa, Marco; Mastrogiacomo, Sara; Baiardi, Paola; Molteni, Daniele; Baldissarro, Eleonora; Imbriani, Chiara; Imarisio, Chiara; Eretti, Laura; Hamedani, Mehrnaz; Pistarini, Caterina; Imbriani, Marcello; Mancardi, Gian Luigi; Caltagirone, Carlo",2021,Springer,Sci. Rep.,medicine-movement,theoretical,two,,x,
Aesthetic strategies in sonification,"Grond, Florian; Hermann, Thomas",2012,Springer,AI Soc.,design,non-specified,,theoretical,,
PhysioSonic - Evaluated Movement Sonification as Auditory Feedback in Physiotherapy,"Vogt, Katharina; Pirrò, David; Kobenz, Ingo; Höldrich, Robert; Eckel, Gerhard",2009,Springer,CMMR,medicine-movement,non-specified,,,x,
Sound/tracks: artistic real-time sonification of train journeys,"Knees, Peter; Pohle, Tim; Widmer, Gerhard",2012,Springer,J. Multimodal User Interfaces,art-nature-vision,theoretical,two,,,
Advantages of melodic over rhythmic movement sonification in bimanual motor skill learning,"Dyer, J. F.; Stapleton, P.; Rodger, M. W. M.",2017,Springer,Exp. Brain Res.,movement,theoretical,zero-one(par),,x,
Aspects of Auditory Perception and Cognition for Usable Display Resolution in Data Sonification,"Kildal, Johan",2009,Springer,INTERACT,vision,theoretical,zero-one(ver),theoretical,,
Transposing musical skill: sonification of movement as concurrent augmented feedback enhances learning in a bimanual task,"Dyer, John; Stapleton, Paul; Rodger, Matthew",2017,Springer,Psychol. Res.,movement,theoretical,zero-one(par),,x,
Dataset and semantic based-approach for image sonification,"Toffa, O. K.; Mignotte, M.",2023,Springer,Multimed. Tools Appl.,medicine-vision,theoretical,zero,,,x
Sonification of Information Security Incidents in an Organization Using a Multistep Cooperative Game Model,"Vishnevsky, Andrey; Abbas, Nadezda",2022,Springer,WorldCIST,vision,theoretical-experiential,two-by practice-comp,,,
Sonification supports perception of brightness contrast,"Rönnberg, Niklas",2019,Springer,J. Multimodal User Interfaces,vision,theoretical,zero-one(ver),,x,
Auditory Feedback for Brain Computer Interface Management - An EEG Data Sonification Approach,"Rutkowski, Tomasz M.; Vialatte, Francois; Cichocki, Andrzej; Mandic, Danilo P.; Barros, Allan Kardec; Gabrys, Bogdan; Howlett, Robert J.; Jain, Lakhmi C.",2006,Springer,KES,nature,theoretical,zero-one(par),,x,
Design and validation of an auditory biofeedback system for modification of running parameters,"Lorenzoni, Valerio; Van Den Berghe, Pieter; Maes, Pieter-Jan; De Bie, Tijl; De Clercq, Dirk; Leman, Marc",2019,Springer,J. Multimodal User Interfaces,movement,theoretical,zero,,x,
An auditory display tool for DNA sequence analysis,"Temple, Mark D.",2017,Springer,BMC Bioinform.,nature,theoretical,one(par)-two,,,
Considerations for Developing Sound in Golf Putting Experiments,"O'Brien , Benjamin; Juhas, Brett; Bienkiewicz, Marta; Pruvost, Laurent; Buloup, Frank; Bringnoux, Lionel; Bourdin, Christophe",2017,Springer,CMMR,movement,theoretical,zero,,x,
"SoundSight: a mobile sensory substitution device that sonifies colour, distance, and temperature","Hamilton-Fletcher, Giles; Alvarez, James; Obrist, Marianna; Ward, Jamie",2022,Springer,J. Multimodal User Interfaces,medicine-vision,theoretical,zero-one(par),,x,x
Observation of sonified movements engages a basal ganglia frontocortical network,"Schmitz, Gerd; Mohammadi, Bahram; Hammer, Anke; Heldmann, Marcus; Samii, Amir; Münte, Thomas F; Effenberg, Alfred O",2013,Springer,BMC Neurosci.,medicine-movement,theoretical,zero,,x,
Sound Design for Affective Interaction,"DeWitt, Anna; Bresin, Roberto",2007,Springer,ACII,design-emotion,theoretical,zero-one(par),theoretical,,
Effects of (music-based) rhythmic auditory cueing training on gait and posture post-stroke: A systematic review & dose-response meta-analysis,"Ghai, Shashank; Ghai, Ishan",2019,Springer,Sci. Rep.,medicine-movement,,,review,,
Musical Auditory Alpha Wave Neurofeedback: Validation and Cognitive Perspectives,"Takabatake, Kazuhiko; Kunii, Naoto; Nakatomi, Hirofumi; Shimada, Seijiro; Yanai, Kei; Takasago, Megumi; Saito, Nobuhito",2021,Springer,AAPB,medicine-nature,non-specified-theoretical,,,x,
Lyricon (Lyrics + Earcons) Improves Identification of Auditory Cues,"Sun, Yuanjing; Jeon, Myounghoon; Marcus, Aaron",2015,Springer,DUXU,design,theoretical,zero-one(par),,x,
Auditory display for fluorescence-guided open brain tumor surgery,"Black, David; Hahn, Horst K.; Kikinis, Ron; Wårdell, Karin; Haj-Hosseini, Neda",2018,Springer,IJCARS,medicine-vision,theoretical,zero,,x,
Blind Navigation along a Sinuous Path by Means of the See ColOr Interface,"Bologna, Guido; Deville, Benoît; Pun, Thierry; Mira, José; Ferrández, José Manuel; Álvarez, José R.; De La Paz, Félix; Toledo, F. Javier",2009,Springer,IWINAC,medicine-space,theoretical,zero,,x,x
Music Training Interface for Visually Impaired through a Novel Approach to Optical Music Recognition,"Kiriella, Dawpadee B.; Kumari, Shyama C.; Ranasinghe, Kavindu C.; Jayaratne, Lakshman",2014,Springer,GSTF JoC,medicine,theoretical,zero-one(par),,x,x
How Can Multimedia Designers Utilize Timbre?,"Rigas, Dimitrios I.; Alty, James L.; Johnson, Hilary; Nigay, Lawrence; Roast, Christopher",1998,Springer,BCS HCI,design,theoretical,zero,,x,
Auditory Brain-Computer/Machine-Interface Paradigms Design,"Rutkowski, Tomasz M.; Cooper, Eric W.; Kryssanov, Victor V.; Ogawa, Hitoshi; Brewster, Stephen",2011,Springer,HAID,nature-space,,,review,,
Using sonification,"Barrass, Stephen; Kramer, Gregory",1999,Springer,Multimed. Syst.,design,,,review,,
Surgical soundtracks: automatic acoustic augmentation of surgical procedures,"Matinfar, Sasan; Nasseri, M. Ali; Eck, Ulrich; Kowalsky, Michael; Roodaki, Hessam; Navab, Navid; Lohmann, Chris P.; Maier, Mathias; Navab, Nassir",2018,Springer,IJCARS,medicine-vision,non-specified,,,x,
Sonifying Twitter's Emotions Through Music,"Seiça, Mariana; Lopes, Rui; Martins, Pedro; Cardoso, F. Amílcar; Aramaki, Mitsuko; Davies, Matthew E. P.; Kronland-Martinet, Richard; Ystad, Sølvi",2017,Springer,CMMR,emotion,theoretical,two,,x,
Mapping for meaning: the embodied sonification listening model and its implications for the mapping problem in sonic information design,"Roddy, Stephen; Bridges, Brian",2020,Springer,J. Multimodal User Interfaces,design,theoretical,two,theoretical,,
Auditory Displays in Human-Machine Interfaces of Mobile Robots for Non-Speech Communication with Humans,"Johannsen, Gunnar",2001,Springer,JINT,movement-space,theoretical,zero-one(par),,x,
Sparse Bump Sonification: A New Tool for Multichannel EEG Diagnosis of Mental Disorders; Application to the Detection of the Early Stage of Alzheimer's Disease,"Vialatte, François B.; Cichocki, Andrzej",2006,IEEE,ICONIP,medicine-nature-vision,theoretical,zero-one(par),,x,
The Influence of Audible Alarm Loudness and Type on Clinical Multitasking,"Bruder, Alexandra L.; Rothwell, Clayton D.; Fuhr, Laura I.; Shotwell, Matthew S.; Edworthy, Judy Reed; Schlesinger, Joseph J.",2022,IEEE,J. Med. Syst.,medicine,theoretical,zero,,x,
AudioBrowser: a mobile browsable information access for the visually impaired,"Chen, Xiaoyu; Tremaine, Marilyn; Lutz, Robert; Chung, Jae-woo; Lacsina, Patrick",2006,IEEE,Univers. Access Inf. Soc.,medicine,theoretical,zero,,x,x
A sonification system based on geographic and meteorologic data,"Huang, Chih-Fang; Nien, Wei-Po",2015,IEEE,UMEDIA,art-emotion-nature,theoretical,two,,x,
Robot Gesture Sonification to Enhance Awareness of Robot Status and Enjoyment of Interaction,"Zahray, Lisa; Savery, Richard; Syrkett, Liana; Weinberg, Gil",2020,IEEE,IEEE RO-MAN,emotion-movement,theoretical,zero-one(par),,x,
The SonicHand Protocol for Rehabilitation of Hand Motor Function: A Validation and Feasibility Study,"Colombo, R.; Raglio, A.; Panigazzi, M.; Mazzone, A.; Bazzini, G.; Imarisio, C.; Molteni, D.; Caltagirone, C.; Imbriani, M.",2019,IEEE,IEEE T NEUR SYS REH,medicine-movement,theoretical,one(par)-two,,x,
Can simple error sonification in combination with music help improve accuracy in upper limb movements?,"Dailly, Anabel Immoos; Sigrist, Roland; Kim, Yeongmi; Wolf, Peter; Erckens, Hendrik; Cerny, Joachim; Luft, Andreas; Gassert, Roger; Sulzer, James",2012,IEEE,IEEE BioRob,medicine-movement,non-specified-theoretical,,,x,
ARCHIMUSIC3D: Multimodal Playful Transformations between Music and Refined Urban Architectural Design,"Giariskanis, Fotis; Parthenios, Panagiotis; Mania, Katerina",2019,IEEE,VS-Games,space,theoretical,zero-one(par),,x,
Effects of Interactive Sonification on Emotionally Expressive Walking Styles,"Turchet, Luca; Bresin, Roberto",2015,IEEE,IEEE Trans. Affect. Comput,emotion-medicine-movement,theoretical,zero-one(par),,x,
An approach for image sonification,"Matta, S.; Kumar, D.K.; Yu, Xinghuo; Burry, M.",2004,IEEE,ISCCSP,vision,theoretical,zero-one(par),,x,
Detection of obstructive sleep apnea through auditory display of heart rate variability,"Ballora, M.; Pennycook, B.; Ivanov, P.Ch.; Goldberger, A.; Glass, L.",2000,IEEE,Comput. Cardiol.,medicine-nature,theoretical,zero-one(par),,,
Consumption as a Rhythm: A Multimodal Experiment on the Representation of Time-Series,"Maçãs, Catarina; Martins, Pedro; Machado, Penousal",2018,IEEE,IV,vision,theoretical,zero-one(par),,,
Ranking of Regional Blogs by Suitability for Sonification,"Kori, H.; Tezuka, T.; Tanaka, K.",2006,IEEE,ICDEW,nature,non-specified,,,,
Sound and meaning in auditory data display,"Hermann, T.; Ritter, H.",2004,IEEE,Proc. IEEE,design,theoretical,zero-one(par),theoretical,,
A testbed for auralization of graphic art,"Osmanovic, N.; Hrustemovic, N.; Myler, H.R.",2003,IEEE,IEEE Region 5 Annual Technical Conference,art-medicine,theoretical,zero-one(par),,,x
"Experiments in using structured musical sound, synthesised speech and environmental stimuli to communicate information: is there a case for integration and synergy?","Rigas, D.; Memery, D.; Yu, H.",2001,IEEE,ISIMP,design,theoretical,zero-one(par),,x,
Sonification for Conveying Data and Emotion,"Rönnberg, Niklas",2021,ACM,Audio Mostly,emotion-vision,theoretical,two,,x,
Using sonification for mining time series data,"Last, Mark; Gorelik, Anna",2008,ACM,ACM SIGKDD,medicine,theoretical,zero-one(par),,x,x
Graphic-to-Sound Sonification for Visual and Auditory Communication Design,"Joo, Woohun",2022,ACM,Audio Mostly,art,theoretical,zero-one(par),,x,
Datascaping: Data Sonification as a Narrative Device in Soundscape Composition,"Pigrem, Jon; Barthet, Mathieu",2017,ACM,Audio Mostly,art-space,theoretical-experiential,zero-one(par)-for practice-comp,,x,
Evaluating micro-guidance sonification methods in manual tasks for Blind and Visually Impaired people,"Guarese, Renan; Zambetta, Fabio; van Schyndel, Ron",2023,ACM,OzCHI,medicine-space,theoretical,zero-one(ver),,x,x
Sound/tracks: real-time synaesthetic sonification and visualisation of passing landscapes,"Pohle, Tim; Knees, Peter; Widmer, Gerhard",2008,ACM,ACM MM,nature-space-vision,theoretical,zero-one(par),,,
Boiling Mind: Amplifying the Audience-Performer Connection through Sonification and Visualization of Heart and Electrodermal Activities,"Sugawa, Moe; Furukawa, Taichi; Chernyshov, George; Hynds, Danny; Han, Jiawen; Padovani, Marcelo; Zheng, Dingding; Marky, Karola; Kunze, Kai; Minamizawa, Kouta",2021,ACM,ACM TEI,art-nature-vision,theoretical-experiential,zero-for practice-perform,,x,
Can You Hear My Heartbeat?: Hearing an Expressive Biosignal Elicits Empathy,"Winters, R. Michael; Walker, Bruce N.; Leslie, Grace",2021,ACM,CHI,emotion-nature-vision,theoretical,zero-one(par),,x,
Educational audio game design: sonification of the curriculum through a role-playing scenario in the audio game 'Kronos',"Rovithis, Emmanouel; Mniestris, Andreas; Floros, Andreas",2014,ACM,Audio Mostly,vision,theoretical-experiential,zero-one(both)-by practice-comp,,,
Ambient Rhythm: Melodic Sonification of Status Information for IoT-enabled Devices,"Chernyshov, George; Chen, Jiajun; Lai, Yenchin; Noriyasu, Vontin; Kunze, Kai",2016,ACM,IoT,space,theoretical,zero-one(par),,x,
AUXie: initial evaluation of a blind-accessible virtual museum tour,"Dulyan, Aram; Edmonds, Ernest",2010,ACM,OzCHI,medicine-space,non-specified,,,x,x
Use of auditory cues for wayfinding assistance in virtual environment: music aids route decision,"Dodiya, Janki; Alexandrov, Vassil N.",2008,ACM,ACM VRST,space-vision,non-specified,,,,
Auditory feedback in an interactive rhythmic tutoring system,"Jylhä, Antti; Erkut, Cumhur",2011,ACM,Audio Mostly,vision,theoretical,zero-one(par),,x,
Assessing the efficacy of a mixed-modal auditory display system for enhancing auditory sensation,"Kim, Si-Jung; Thangjitham, Jennifer; Winchester, Woodrow",2009,ACM,ACM SE,vision,non-specified,,,x,
Felt Sense through Auditory Display: A Design Case Study into Sound for Somatic Awareness while Walking,"Feltham, Frank; Loke, Lian",2017,ACM,C&C,movement,theoretical,zero-one(par),,x,
Annotation-based video enrichment for blind people: a pilot study on the use of earcons and speech synthesis,"Encelle, Benoît; Ollagnier-Beldame, Magali; Pouchot, Stéphanie; Prié, Yannick",2011,ACM,ACM ASSETS,medicine,theoretical,zero,,x,x
A biofeedback music-sonification system for gait retraining,"Lorenzoni, Valerio; Maes, Pieter-Jan; Van den Berghe, Pieter; De Clercq, Dirk; de Bie, Tijl; Leman, Marc",2018,ACM,MOCO,movement,non-specified,,,x,
Musical Elements in Sonification Support Visual Perception,"Ronnberg, Niklas",2019,ACM,ECCE,vision,theoretical,two,,x,
A serious games platform for validating sonification of human full-body movement qualities,"Kolykhalova, Ksenia; Alborno, Paolo; Camurri, Antonio; Volpe, Gualtiero",2016,ACM,MOCO,movement,non-specified,,,x,
CardioSounds: Real-time Auditory Assistance for Supporting Cardiac Diagnostic and Monitoring,"Blanco, Andrea Lorena Aldana; Grautoff, Steffen; Hermann, Thomas",2017,ACM,Audio Mostly,medicine-vision,theoretical,zero-one(par),,,
An auditory interface for realtime brainwave similarity in dyads,"Winters, R. Michael; Koziej, Stephanie",2020,ACM,Audio Mostly,nature,non-specified,,,x,
Motor Variability in Complex Gesture Learning: Effects of Movement Sonification and Musical Background,"Liu, Wanyu; Magalhaes, Michelle Agnes; Mackay, Wendy E.; Beaudouin-Lafon, Michel; Bevilacqua, Frédéric",2022,ACM,ACM Tap,movement,theoretical-experiential,zero-one(par)-by practice-comp,,x,
Sounds of Health: Using Personalized Sonification Models to Communicate Health Information,"Clark, Matthew; Doryab, Afsaneh",2023,ACM,Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.,medicine,theoretical,one(par),,x,
Writing with music: Exploring the use of auditory feedback in gesture interfaces,"Andersen, Tue Haste; Zhai, Shumin",2008,ACM,ACM Tap,movement-vision,non-specified,,,x,
Eyes-Free Art: Exploring Proxemic Audio Interfaces For Blind and Low Vision Art Engagement,"Rector, Kyle; Salmon, Keith; Thornton, Dan; Joshi, Neel; Morris, Meredith Ringel",2017,ACM,Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.,art-medicine-space,theoretical,zero-one(par),,x,x
A Study on User Acceptance of Different Auditory Content for Relaxation,"Yu, Bin; Hu, Jun; Funk, Mathias; Feijs, Loe",2016,ACM,Audio Mostly,emotion-medicine,theoretical,zero-one(par),,x,
Strategies for Auditory Display of Social Media,"Winters, R. Michael; Joshi, Neel; Cutrell, Edward; Morris, Meredith Ringel",2019,SAGE,Ergon. Des.,emotion-vision,non-specified,,,,
Perception of Sonified Daily Weather Records,"Flowers, John H.; Grafel, Douglas C.",2002,SAGE,Proc. Hum. Factors Ergon. Soc.,nature,theoretical,zero-one(par),,x,
Toward a Better Understanding of In-Vehicle Auditory Warnings and Background Noise,"≈†abiƒá, Edin; Chen, Jing; MacDonald, Justin A.",2021,SAGE,Hum. Factors,design,non-specified,,,x,
Do Learned Alarm Sounds Interfere With Working Memory?,"Lacherez, Philippe; Donaldson, Liam; Burt, Jennifer S.",2016,SAGE,Hum. Factors,design,theoretical,zero-one(par),,x,
Spearcons (Speech-Based Earcons) Improve Navigation Performance in Advanced Auditory Menus,"Walker, Bruce N.; Lindsay, Jeffrey; Nance, Amanda; Nakano, Yoko; Palladino, Dianne K.; Dingler, Tilman; Jeon, Myounghoon",2013,SAGE,Hum. Factors,design,theoretical,zero,,x,
